frequency,length,width,height,substrate_dielectric,input_power,predicted_gain
32.36718202,1.247281637,1.959996622,0.355257827,2.896736124,7.441396511,22.35951219
42.16214321,1.165824192,0.869023991,0.283716981,2.284453325,8.822908563,22.09145689
38.44389701,0.852307825,1.193279389,0.48579941,2.379077675,4.685480766,21.61574739
36.17719423,1.71453334,1.826561274,0.18759138,2.542013385,2.962869444,22.86548577
28.65231689,1.453248321,1.464178689,0.335142566,2.610960003,3.256581086,22.32637477
28.65190685,2.231401985,1.977142077,0.380084006,2.726785428,6.999787758,22.6420432
26.98742141,0.564219161,2.422415802,0.430225796,2.766380087,5.718824537,21.59681334
40.72499448,1.787735855,0.733093375,0.262788412,3.367149036,4.916291897,22.09399284
36.2189552,2.025897757,1.919135433,0.374768763,3.528719572,2.10746338,22.66541715
38.03723382,2.018973138,0.960688311,0.221280589,2.926637624,8.767011306,22.45764973
26.3499364,2.272147934,1.328953455,0.274190437,4.72188926,7.83210243,22.65163859
42.48846749,1.958067486,0.565725452,0.458250852,3.65941917,1.492322157,20.81093094
40.15152489,2.355620123,0.771814765,0.479963044,4.362430784,3.737145701,21.95693389
29.60976488,1.1653132,1.139554578,0.387526939,4.772713497,5.467107727,22.06272376
29.09102444,1.506418834,1.183971611,0.249740756,2.489405344,4.597952365,22.26484597
29.11787667,0.528159327,2.299170433,0.428023116,3.283623451,4.038178804,21.65365232
31.17211813,0.513915175,1.983625819,0.110346833,3.299631205,7.216435786,21.48027527
34.92085934,0.980253241,2.444365936,0.141098364,3.063416751,0.639584692,21.68551742
33.34306532,0.701614394,1.698143021,0.364549495,2.0267176,4.766962357,21.98616387
30.95089538,1.020422736,0.983427464,0.21649943,4.447916323,2.695598735,21.55438579
36.40149921,0.854086589,1.15531006,0.480554487,2.334677965,0.937722014,21.60012513
28.37139563,0.55704005,1.139671847,0.274424245,4.986441794,4.702382864,21.11253635
30.96645903,2.318608293,1.152988655,0.271745928,4.318875476,1.796550042,22.52855173
32.22815134,0.516446263,1.845928346,0.371231804,3.740030053,2.656420391,21.51102145
33.75318973,1.972164289,1.561615856,0.407027425,2.463819253,5.119386422,22.60214211
39.34799134,0.804295774,1.270848356,0.290223495,3.546178914,9.739718901,21.7675585
29.3944543,2.324459244,0.798179537,0.185600361,2.783326223,6.874124567,22.32752226
34.74198545,2.285591879,0.544278326,0.409323457,2.756967574,2.868255802,20.94232918
36.07104767,1.807802293,0.937669355,0.22814051,4.488587748,3.88581992,22.46330047
26.78965702,1.8444683,0.714942808,0.170044308,3.141933272,4.120718208,22.07539985
36.32826248,0.510678284,2.070890062,0.352656076,3.35217141,1.621012471,21.523177
28.8989101,2.469743132,0.724995916,0.136181467,4.528894213,1.69047647,21.94915742
27.10587708,2.255665207,1.948456475,0.48854107,2.263371877,1.569107763,22.23503972
42.13105413,2.290212451,1.27131738,0.352958906,3.783853559,5.264474964,22.36515908
42.41574456,1.818489074,0.646756779,0.494358208,3.734647044,6.774442259,21.52511972
39.74275492,1.189573857,2.125460099,0.235557369,3.275643708,5.948134778,22.52862663
31.17843408,2.287297298,1.65926114,0.488482064,4.489323924,9.779895136,22.57322724
27.66042594,1.083033856,0.971523026,0.158224899,4.828670184,1.346158265,21.54639763
37.63196145,1.625423087,2.289362349,0.116277909,3.396007586,9.866096622,22.66673371
33.48259239,0.699461945,0.590516628,0.113193624,3.368441153,4.720071945,21.10163927
28.07464999,2.34391126,0.903639216,0.285948148,3.506191189,2.264464599,22.49148953
34.41800747,0.781540916,2.004093856,0.133201679,4.169372092,9.438480177,21.97741108
26.58460486,0.949793611,1.918755861,0.304867154,4.004180872,4.73927177,21.86270862
41.45844684,1.616268316,1.078543387,0.231000201,2.668504848,3.538734857,22.34574582
30.39925969,2.028186,0.624049751,0.234251597,2.191686046,2.216720028,21.65107489
37.26287883,1.738702612,2.216156144,0.354243599,4.847762389,2.751966966,22.67421755
31.29908829,0.964267826,1.127395276,0.165239202,2.783209279,9.794273151,21.50302015
34.84115636,0.501886085,0.89142683,0.406621348,3.915790054,3.109337055,21.13192625
35.29407475,2.014301161,1.532123645,0.332812368,4.485314008,9.780278645,22.68267343
